market,period,metric,value,edition,source_file
Silicon Valley,H2 2016,preleased_mw,35.5,H2 2025 chapter history,data/raw/market_reports/2026-09-21/cbre_h2_2025_silicon_valley_infogram/fig2_Silicon_Valley_FIG01_ece2759c-ff47-43f2-a2a0-b220281a1342_table1.csv
Silicon Valley,H2 2016,under_construction_mw,37.5,H1 2026 chapter history,data/raw/market_reports/2026-09-21/cbre_h1_2026_silicon_valley_infogram/fig2_Silicon_Valley_Fig_1_24055fdc-ac59-4de3-a70e-0be1bfb25cf9_table1.csv
Silicon Valley,H2 2016,under_construction_mw,37.5,H2 2025 chapter history,data/raw/market_reports/2026-09-21/cbre_h2_2025_silicon_valley_infogram/fig2_Silicon_Valley_FIG01_ece2759c-ff47-43f2-a2a0-b220281a1342_table1.csv
Silicon Valley,H2 2016,vacancy_pct,6.5,H1 2026 chapter history,data/raw/market_reports/2026-09-21/cbre_h1_2026_silicon_valley_infogram/fig2_Silicon_Valley_Fig_1_24055fdc-ac59-4de3-a70e-0be1bfb25cf9_table1.csv
Silicon Valley,H2 2016,vacancy_pct,6.5,H2 2025 chapter history,data/raw/market_reports/2026-09-21/cbre_h2_2025_silicon_valley_infogram/fig2_Silicon_Valley_FIG01_ece2759c-ff47-43f2-a2a0-b220281a1342_table1.csv
Silicon Valley,H1 2017,new_deliveries_mw,33.0,H1 2026 chapter history,data/raw/market_reports/2026-09-21/cbre_h1_2026_silicon_valley_infogram/fig2_Silicon_Valley_Fig_1_24055fdc-ac59-4de3-a70e-0be1bfb25cf9_table1.csv
Silicon Valley,H1 2017,new_deliveries_mw,33.0,H2 2025 chapter history,data/raw/market_reports/2026-09-21/cbre_h2_2025_silicon_valley_infogram/fig2_Silicon_Valley_FIG01_ece2759c-ff47-43f2-a2a0-b220281a1342_table1.csv
Silicon Valley,H1 2017,preleased_mw,4.5,H1 2026 chapter history,data/raw/market_reports/2026-09-21/cbre_h1_2026_silicon_valley_infogram/fig2_Silicon_Valley_Fig_1_24055fdc-ac59-4de3-a70e-0be1bfb25cf9_table1.csv
Silicon Valley,H1 2017,preleased_mw,4.5,H2 2025 chapter history,data/raw/market_reports/2026-09-21/cbre_h2_2025_silicon_valley_infogram/fig2_Silicon_Valley_FIG01_ece2759c-ff47-43f2-a2a0-b220281a1342_table1.csv
Silicon Valley,H1 2017,under_construction_mw,4.5,H1 2026 chapter history,data/raw/market_reports/2026-09-21/cbre_h1_2026_silicon_valley_infogram/fig2_Silicon_Valley_Fig_1_24055fdc-ac59-4de3-a70e-0be1bfb25cf9_table1.csv
